Serial,Parentsmiles,BondIndex,Frag1smiles,Frag2smiles,BDH,BondType,Source
62781,Cc1[nH][nH]c(=O)c1N=O,6,Cc1[c]c(=O)[nH][nH]1,[N]=O,63.91247,C-N,ALFABET
1113252,Nc1ccc(Cl)c(SCc2ccoc2)c1,0,[NH2],Clc1cc[c]cc1SCc1ccoc1,105.52074,C-N,NEW
42661,NCCC(=O)CN,5,[CH2]C(=O)CCN,[NH2],80.80377,C-N,ALFABET
58975,COCCN(O)CCOC,3,COCC[N]O,[CH2]COC,70.11665,C-N,ALFABET
1102702,C#CCN(C)C(=O)C(N)CCOC,2,C#C[CH2],C[N]C(=O)C(N)CCOC,76.37041,C-N,NEW
1107565,CC1(C)C(N)CC1NC(=O)NC1CC1,7,O=[C]NC1CC1,CC1(C)C([NH])CC1N,93.79635,C-N,NEW
161498,NC(=O)c1ccc(=O)[nH]n1,0,[NH2],O=[C]c1ccc(=O)[nH]n1,104.29647,C-N,ALFABET
1119978,CCC(C)NCCNC(CC)(CC)CC,7,CC[C](CC)CC,CCC(C)NCC[NH],83.2316,C-N,NEW
1106083,CCOC(=O)[C@H]1C[C@@H](O)CN1CC,10,CCOC(=O)[C@H]1C[C@@H](O)C[N]1,[CH2]C,78.65141,C-N,NEW
244849,CN(CCN)C(C)(C)C,0,CC(C)(C)[N]CCN,[CH3],77.16233,C-N,ALFABET
80760,NC(=O)c1cncc(=O)[nH]1,0,[NH2],O=[C]c1cncc(=O)[nH]1,103.25794,C-N,ALFABET
66521,CC(=O)N(C)CO,4,C[N]C(C)=O,[CH2]O,93.07283,C-N,ALFABET
1097683,C=CCCNc1ccn(C)n1,4,C=CCC[NH],Cn1cc[c]n1,106.20535,C-N,NEW
285543,CCn1nccc1COC,1,COCC1=CC=N[N]1,[CH2]C,97.80865,C-N,ALFABET
23083,O=C(CCN1CC1)NCO,3,C1C[N]1,[CH2]CC(=O)NCO,79.84807,C-N,ALFABET
1094747,CN1C(=N)CC(N)C1=O,5,CN1C(=N)C[CH]C1=O,[NH2],81.48148,C-N,NEW
1115121,CCCN1Cc2ccc(Cl)cc2NC1C,2,[CH2]CC,CC1[N]Cc2ccc(Cl)cc2N1,81.05289,C-N,NEW
168242,C=CCn1nc(N)nc1N,8,C=CCn1[c]nc(N)n1,[NH2],114.96287,C-N,ALFABET
1099972,O=S(=O)(NC1CC(Cl)C1)C1CC1,3,ClC1C[CH]C1,[NH]S(=O)(=O)C1CC1,93.88546,C-N,NEW
1104859,C#CCNC(=O)CN(C)CC(=O)O,7,C#CCNC(=O)C[N]CC(=O)O,[CH3],82.66496,C-N,NEW
1103716,Cc1noc(CNC(=O)[C@@H](C)O)n1,6,C[C@@H](O)[C]=O,Cc1noc(C[NH])n1,102.99689,C-N,NEW
125318,CN(C=O)CC#N,0,N#CC[N]C=O,[CH3],97.86198,C-N,ALFABET
1104597,CCC1CCCC1n1nccc1N,11,[NH2],CCC1CCCC1n1[c]ccn1,110.12226,C-N,NEW
1101778,COCCNCC1NC=C(C)S1,4,[CH2]C1NC=C(C)S1,COCC[NH],86.13571,C-N,NEW
145904,CN1CC=CC[C@@H]1C#N,0,N#C[C@H]1CC=CC[N]1,[CH3],84.33476,C-N,ALFABET
253258,CN(C)C(=O)NN=C(N)N,2,C[N]C,NC(N)=NN[C]=O,91.69419,C-N,ALFABET
1101918,O=NC(=O)Cc1ccc(O)cc1,1,O=[C]Cc1ccc(O)cc1,[N]=O,28.47826,C-N,NEW
210566,CN(C)c1cnccc1N,2,C[N]C,Nc1[c]cncc1,99.30337,C-N,ALFABET
183129,NC/C=C/CNCCCN,8,[CH2]CCNC/C=C/CN,[NH2],85.63935,C-N,ALFABET
227330,CN1N=C(C#N)CC1=O,0,N#CC1=N[N]C(=O)C1,[CH3],92.99126,C-N,ALFABET
124187,NNc1ncnc(NN)n1,1,[NH]N,NNc1n[c]ncn1,95.0407,C-N,ALFABET
1096705,CONC(C(N)=O)C(C)C,4,CONC([C]=O)C(C)C,[NH2],101.50656,C-N,NEW
181346,NC(N)=Nc1cccnc1,3,[N]=C(N)N,[c]1cccnc1,101.47707,C-N,ALFABET
131842,Cn1cc(C#N)cc1C=O,0,N#CC1=C[N]C(C=O)=C1,[CH3],87.97181,C-N,ALFABET
1105904,N/C(Cc1c(F)cccc1Cl)=N\O,0,ON=[C]Cc1c(F)cccc1Cl,[NH2],105.95497,C-N,NEW
1090753,Nc1nnnn1S,0,Sn1[c]nnn1,[NH2],119.1835,C-N,NEW
1120942,CCCC(C)c1nc(C)n(C2CC2)c1N,13,CCCC(C)c1[c]n(C2CC2)c(C)n1,[NH2],110.12666,C-N,NEW
1118764,CNS(=O)(=O)CCNc1cccnc1N,0,[CH3],[NH]S(=O)(=O)CCNc1cccnc1N,87.5131,C-N,NEW
1089202,N#CNCCN,2,[CH2]CN,N#C[NH],78.10485,C-N,NEW
1089473,CN=C(N)CS,2,CN=[C]CS,[NH2],96.84354,C-N,NEW
41986,CN(O)Cc1ccccc1,2,C[N]O,[CH2]c1ccccc1,56.60575,C-N,ALFABET
1102944,NCCCCNCC1CCNCC1,0,[CH2]CCCNCC1CCNCC1,[NH2],85.75105,C-N,NEW
1119635,CNC1CCOCC1N1CCCCCC1,0,[CH3],[NH]C1CCOCC1N1CCCCCC1,79.1622,C-N,NEW
1115533,CC(C)NC(=O)CC(N)c1cccnc1,2,C[CH]C,[NH]C(=O)CC(N)c1cccnc1,100.10847,C-N,NEW
1120843,CCC(CCN)CCCN(CC)C(C)C,9,CCC(CCN)CCC[N]C(C)C,[CH2]C,77.34117,C-N,NEW
1106534,CNC(C)(C)CNc1cccc(F)c1,0,[CH3],CC(C)([NH])CNc1cccc(F)c1,84.7577,C-N,NEW
1112166,COC(CN(CCCO)CC(C)C)OC,4,COC(C[N]CC(C)C)OC,[CH2]CCO,79.09004,C-N,NEW
55586,Cc1cc(C=O)c(C)n1C,8,CC1=CC(C=O)=C(C)[N]1,[CH3],77.56331,C-N,ALFABET
151842,Nc1ccc(O)cn1,0,Oc1cc[c]nc1,[NH2],103.73359,C-N,ALFABET
187562,CNCC(=O)C(C)(C)C,1,[CH2]C(=O)C(C)(C)C,C[NH],77.27967,C-N,ALFABET
237570,NCc1ccc(N)nc1,0,[CH2]c1ccc(N)nc1,[NH2],73.3728,C-N,ALFABET
1090420,CNCC(=O)OCl,0,[CH3],[NH]CC(=O)OCl,83.10484,C-N,NEW
214409,CNC(=O)Cn1cnnn1,4,C1=NN=N[N]1,[CH2]C(=O)NC,99.65917,C-N,ALFABET
1100253,CN(C)CCCOc1ccn[nH]1,2,C[N]C,[CH2]CCOc1ccn[nH]1,76.59067,C-N,NEW
196286,CNCC#CCNC,0,[CH3],CNCC#CC[NH],80.43103,C-N,ALFABET
275393,CC(C)CCC1(N)CC1,5,CC(C)CC[C]1CC1,[NH2],95.69394,C-N,ALFABET
194113,CNC(=O)N(C)CC#N,0,[CH3],CN(CC#N)C([NH])=O,91.02715,C-N,ALFABET
1095605,NC(=O)NN(CO)C(N)=O,7,NC(=O)NN([C]=O)CO,[NH2],99.90767,C-N,NEW
276815,Cc1cn(CCO)nc1N,8,Cc1[c]nn(CCO)c1,[NH2],110.09277,C-N,ALFABET
251036,CCN(C)C(=O)CCN,2,CC[N]C(=O)CCN,[CH3],90.82509,C-N,ALFABET
1117363,C=C(C)CNC(=O)c1ccc(Cl)cc1F,4,C=C(C)C[NH],O=[C]c1ccc(Cl)cc1F,100.63369,C-N,NEW
1093297,CCN(C)N1CCNC1,2,CC[N]N1CCNC1,[CH3],58.69033,C-N,NEW
54803,NC(=O)OCCO,0,O=[C]OCCO,[NH2],104.15528,C-N,ALFABET
145069,NC/C=C/Cn1cccc1,4,C1=C[N]C=C1,[CH2]/C=C/CN,65.77429,C-N,ALFABET
1098443,C=CCCNC(=O)C(C)(C)N,3,[CH2]CC=C,CC(C)(N)C([NH])=O,101.00455,C-N,NEW
24671,CCOC(OCC)N(C)C,6,C[N]C,CCO[CH]OCC,85.14488,C-N,ALFABET
62531,NC[C@@H]1CN1,0,[CH2][C@@H]1CN1,[NH2],83.94257,C-N,ALFABET
261929,CCNC1CCN(C)CC1,1,[CH2]C,CN1CCC([NH])CC1,82.73399,C-N,ALFABET
1093017,C=C(C=O)NCC(C)C,3,C=[C]C=O,CC(C)C[NH],106.22794,C-N,NEW
1093867,CC(=O)NCCCC#N,2,C[C]=O,N#CCCC[NH],99.23623,C-N,NEW
177991,CN[C@H](C)C(OC)OC,0,[CH3],COC(OC)[C@@H](C)[NH],80.90856,C-N,ALFABET
1088455,NC(F)(F)Cl,0,F[C](F)Cl,[NH2],99.2469,C-N,NEW
257822,NNc1ccc(N)cn1,1,[NH]N,Nc1cc[c]nc1,84.35296,C-N,ALFABET
231691,CCNCCNCCN,4,[CH2]CNCC,[NH]CCN,82.93165,C-N,ALFABET
1120285,Nc1cnc(NCC2CCCC2O)nc1,0,OC1CCCC1CNc1nc[c]cn1,[NH2],104.37553,C-N,NEW
1102622,O=NCC(=O)NCCc1ncno1,1,[CH2]C(=O)NCCc1ncno1,[N]=O,34.49733,C-N,NEW
1096957,CC(C)[C@@H](N)Cc1ncc[nH]1,3,CC(C)[CH]Cc1ncc[nH]1,[NH2],86.74377,C-N,NEW
1092454,NC1CCCN1CO,0,OCN1[CH]CCC1,[NH2],82.71579,C-N,NEW
1119681,CNC(CC1CCCCN1)c1cc[nH]c1,0,[CH3],[NH]C(CC1CCCCN1)c1cc[nH]c1,82.17801,C-N,NEW
132404,C=CCOC[C@H](O)CNC,7,[CH2][C@@H](O)COCC=C,C[NH],86.11501,C-N,ALFABET
1096257,C=CC(=O)NC(CC)NC,7,C=CC(=O)N[CH]CC,C[NH],75.82511,C-N,NEW
1096390,CNCC1C2CCCOC21,0,[CH3],[NH]CC1C2CCCOC12,83.11049,C-N,NEW
1094942,C=C(C)C1CC(CNC)C1,6,[CH2]C1CC(C(=C)C)C1,C[NH],83.49327,C-N,NEW
55928,CCN(C)C[C@H](C)O,2,CC[N]C[C@H](C)O,[CH3],78.67086,C-N,ALFABET
104129,CC(=O)NCCCC=O,2,C[C]=O,[NH]CCCC=O,98.85031,C-N,ALFABET
1118760,CCNC(C)/C=C/c1cccc(F)c1F,1,[CH2]C,CC([NH])/C=C/c1cccc(F)c1F,83.79824,C-N,NEW
277620,C[C@H](N)CCC(=O)N(C)C,6,C[N]C,C[C@H](N)CC[C]=O,94.18666,C-N,ALFABET
47350,NCCCC1CCCCC1,0,[CH2]CCC1CCCCC1,[NH2],85.6494,C-N,ALFABET
202427,CC(=O)NCC(=O)C(C)C,3,[CH2]C(=O)C(C)C,CC([NH])=O,91.93202,C-N,ALFABET
1120729,CCCCOCCNC(=O)CCCCCl,7,O=[C]CCCCCl,CCCCOCC[NH],103.94318,C-N,NEW
1095890,C=C(C)C(C)CCNCC,7,[CH2]C,C=C(C)C(C)CC[NH],84.7941,C-N,NEW
218461,CCCNOC,2,[CH2]CC,CO[NH],67.74216,C-N,ALFABET
1103737,CN(CCO)CCNCC(O)CO,4,[CH2]CNCC(O)CO,C[N]CCO,76.12568,C-N,NEW
1097574,O=CC=CC=CN1CCCC1,5,C1CC[N]C1,[CH]=CC=CC=O,103.56354,C-N,NEW
233789,C#CCN(C)CCCC,2,C#C[CH2],CCCC[N]C,66.8329,C-N,ALFABET
122861,CC/C(N)=N\CCCNC,7,[CH2]CC/N=C(/N)CC,C[NH],82.58589,C-N,ALFABET
117913,NCC1=CCCCC1,0,[CH2]C1=CCCCC1,[NH2],71.72057,C-N,ALFABET
157199,CC(C)CNCCCN,3,[CH2]C(C)C,[NH]CCCN,82.0682,C-N,ALFABET
94764,C=CCN(C)N,2,C[N]N,[CH2]C=C,48.73552,C-N,ALFABET
269693,CCNC(=O)CCNC,7,[CH3],CCNC(=O)CC[NH],79.57699,C-N,ALFABET
232730,CCCC/N=C(\N)NO,6,CCCC/N=[C]\N,[NH]O,72.87581,C-N,ALFABET
1098007,C=CNCCCN(C)C(C)C,1,[CH]=C,CC(C)N(C)CCC[NH],103.55726,C-N,NEW
1112086,CC1OC(NCCCN)C(O)C(O)C1O,4,[CH2]CCN,CC1OC([NH])C(O)C(O)C1O,86.45763,C-N,NEW
220738,CCNCCOCCO,1,[CH2]C,[NH]CCOCCO,83.45562,C-N,ALFABET
1100489,CCNCc1nncn1C1CC1,2,[CH2]c1nncn1C1CC1,CC[NH],75.72722,C-N,NEW
1119070,CNCC(C)S(=O)(=O)NC1CCCOC1,0,[CH3],CC(C[NH])S(=O)(=O)NC1CCCOC1,81.45261,C-N,NEW
1122012,NCCNC(=O)CN(CC1CC1)C1CC1,0,[CH2]CNC(=O)CN(CC1CC1)C1CC1,[NH2],88.48888,C-N,NEW
1121948,CCOC(=O)NCCNC(C)C1(C)CC1,4,CCO[C]=O,CC(NCC[NH])C1(C)CC1,102.86072,C-N,NEW
135854,CC(=O)NC1=NNC(=O)C1,3,O=C1C[C]=NN1,CC([NH])=O,115.23396,C-N,ALFABET
1098119,CCCN(CCC)[C@H](C)CC,2,CCC[N][C@H](C)CC,[CH2]CC,77.80427,C-N,NEW
1106962,ClCC1CCCC1Nc1cnccn1,7,[NH]C1CCCC1CCl,[c]1cnccn1,104.26509,C-N,NEW
1088468,C/C(N)=N\N,1,C/[C]=N\N,[NH2],100.4969,C-N,NEW
1103265,CCCN(CC(C)=O)C(=O)CNC,7,CCC[N]CC(C)=O,CNC[C]=O,95.5835,C-N,NEW
169592,CN1CC(C)(C)OC1=O,0,CC1(C)C[N]C(=O)O1,[CH3],93.84781,C-N,ALFABET
1099070,CCN=C(N)C(=N)C1CNC1,3,CCN=[C]C(=N)C1CNC1,[NH2],101.21163,C-N,NEW
1120471,CC(C)(C)C(CN)NC(=O)CC1CCC1,5,[CH2]C(NC(=O)CC1CCC1)C(C)(C)C,[NH2],86.07798,C-N,NEW
1103491,CNCC1CN(CC(C)C)CCN1,1,[CH2]C1CN(CC(C)C)CCN1,C[NH],85.22645,C-N,NEW
1120868,CCOCCCNc1nc(Cl)ccc1N,13,[NH2],CCOCCCNc1[c]ccc(Cl)n1,109.08185,C-N,NEW
1108369,CC(C)(CN)Cc1ccc(O)c(F)c1,3,[CH2]C(C)(C)Cc1ccc(O)c(F)c1,[NH2],88.84907,C-N,NEW
1094259,CCCN(C)[C@@H](C)C#N,2,C[N][C@@H](C)C#N,[CH2]CC,82.53695,C-N,NEW
95499,C/C=C/N1CCOCC1,2,C1COCC[N]1,[CH]=CC,97.07258,C-N,ALFABET
1101729,COC(=O)[C@H]1CC[C@H]([C@H](C)N)O1,9,C[CH][C@H]1CC[C@H](C(=O)OC)O1,[NH2],87.65303,C-N,NEW
1118508,CC(C)(O)CNc1cc(F)c(F)cc1F,5,CC(C)(O)C[NH],Fc1[c]cc(F)c(F)c1,105.81441,C-N,NEW
156859,COCN,2,[CH2]OC,[NH2],87.94169,C-N,ALFABET
1115074,CC(C)(C)C1CNC(=O)CCN1C(=O)O,11,CC(C)(C)C1CNC(=O)CC[N]1,O=[C]O,97.11964,C-N,NEW
1105846,CCS(=O)(=O)CCN1CCCCC1,6,C1CC[N]CC1,[CH2]CS(=O)(=O)CC,82.2439,C-N,NEW
135368,CCCONC(C)=O,4,C[C]=O,CCCO[NH],75.73537,C-N,ALFABET
1096664,C=C(NNC)OC1CCC1,1,C=[C]OC1CCC1,CN[NH],80.28168,C-N,NEW
209024,C[C@H](CNCCO)C(=O)O,2,[CH2][C@@H](C)C(=O)O,[NH]CCO,84.71315,C-N,ALFABET
1115286,CC(C)(C)C(=O)N1C2CCC1C(CN)C2,12,[CH2]C1CC2CCC1N2C(=O)C(C)(C)C,[NH2],88.86036,C-N,NEW
1089275,NC1N=CCN1,0,[CH]1N=CCN1,[NH2],69.1848,C-N,NEW
227536,C#CCN(C)CCCN,4,C#CC[N]C,[CH2]CCN,81.5436,C-N,ALFABET
266949,CCn1cc(N)c(C#N)n1,1,N#CC1=N[N]C=C1N,[CH2]C,83.67651,C-N,ALFABET
226662,CN1N=C(C(=O)O)CC1=O,0,O=C1CC(C(=O)O)=N[N]1,[CH3],93.47946,C-N,ALFABET
269039,CN(C)C(=O)NCC(=O)O,4,CN(C)[C]=O,[NH]CC(=O)O,93.55852,C-N,ALFABET
77698,CN(C)/C=C(/C#N)C=O,2,C[N]C,[CH]=C(C#N)C=O,105.85206,C-N,ALFABET
1112126,CC(C)NC[C@](C)(O)c1ccc(Cl)cc1,2,C[CH]C,C[C@](O)(C[NH])c1ccc(Cl)cc1,79.9673,C-N,NEW
1107460,CCCCN(CCO)CC(=O)CCC,3,CCCC(=O)C[N]CCO,[CH2]CCC,79.8305,C-N,NEW
1109061,CCn1cc(N2C(=O)[C@@H](N)[C@@H]2C)cn1,8,CCn1cc(N2C(=O)[CH][C@@H]2C)cn1,[NH2],86.80903,C-N,NEW
1115473,CCC(CC)NCN1CC(OC(C)=O)C1,6,CC(=O)OC1C[N]C1,[CH2]NC(CC)CC,76.10686,C-N,NEW
1104707,NC(=O)C(N)CCSc1ncco1,0,[NH2],NC([C]=O)CCSc1ncco1,100.82006,C-N,NEW
19280,C1CC(NC2CC2)C1,2,[CH]1CCC1,[NH]C1CC1,80.76674,C-N,ALFABET
1110256,COCCN(C)c1ccc(N)c(N)n1,11,[NH2],COCCN(C)c1ccc(N)[c]n1,105.41908,C-N,NEW
28245,OCCNc1cnccn1,3,[NH]CCO,[c]1cnccn1,101.79459,C-N,ALFABET
1116071,CCCN(C)C(=O)c1c(C)cccc1C,2,[CH2]CC,C[N]C(=O)c1c(C)cccc1C,93.21339,C-N,NEW
1121615,CC(=O)N[C@@H](CS)C(=O)CC(=O)C(=O)O,2,C[C]=O,[NH][C@@H](CS)C(=O)CC(=O)C(=O)O,100.76924,C-N,NEW
252826,CC(C)NCc1ncc[nH]1,2,C[CH]C,[NH]Cc1ncc[nH]1,82.42149,C-N,ALFABET
1097625,CS[C@@](C)(NC(C)=O)C(=O)O,4,C[C]=O,CS[C@@](C)([NH])C(=O)O,93.83965,C-N,NEW
78464,CC(C)N(C)CCN,6,[CH2]CN(C)C(C)C,[NH2],87.47294,C-N,ALFABET
212424,NCCOCCNCCO,0,[CH2]COCCNCCO,[NH2],87.79108,C-N,ALFABET
1120938,CN(C)CC(C)(C)CNCCCCCO,2,C[N]C,[CH2]C(C)(C)CNCCCCCO,82.60723,C-N,NEW
1108140,CN(CCO)CC(=O)c1ccccc1,4,C[N]CCO,[CH2]C(=O)c1ccccc1,73.28997,C-N,NEW
1103680,CCN(CC(C)=O)CC(OC)OC,1,COC(C[N]CC(C)=O)OC,[CH2]C,77.76599,C-N,NEW
1101344,NC(N)=NNC(=O)CCCC=O,0,N[C]=NNC(=O)CCCC=O,[NH2],104.90139,C-N,NEW
210575,CCc1cnc(NC)nc1,6,[CH3],CCc1cnc([NH])nc1,86.31707,C-N,ALFABET
1090070,CCNCC=O,2,[CH2]C=O,CC[NH],75.60548,C-N,NEW
1110773,CNC(C)CN1C(=O)C2CC(C2)C1=O,1,C[CH]CN1C(=O)C2CC(C2)C1=O,C[NH],86.3635,C-N,NEW
1091661,CNS(=O)(=O)CCS,0,[CH3],[NH]S(=O)(=O)CCS,92.62793,C-N,NEW
1093140,CCN(CCO)C(N)=O,1,NC(=O)[N]CCO,[CH2]C,86.62894,C-N,NEW
224433,C=CCCNC(=O)NC,6,C=CCCN[C]=O,C[NH],94.39813,C-N,ALFABET
42927,CCn1ncc(C)c1N,1,CC1=C(N)[N]N=C1,[CH2]C,79.62405,C-N,ALFABET
1093236,CCCN(C)/C=C/CN,4,CCC[N]C,[CH]=CCN,97.55262,C-N,NEW
23322,CN(C)c1nccc(N)n1,7,[NH2],CN(C)c1n[c]ccn1,106.66218,C-N,ALFABET
1091352,CNC1SCCS1,0,[CH3],[NH]C1SCCS1,84.16094,C-N,NEW
1106902,CCCNCCNCc1ccc(C)o1,5,[CH2]CNCCC,Cc1ccc(C[NH])o1,82.9442,C-N,NEW
1093760,O=CN1CCCOCC1,1,C1C[N]CCOC1,[CH]=O,98.72167,C-N,NEW
215226,CC(C)NCC(=O)N(C)C,2,C[CH]C,CN(C)C(=O)C[NH],82.80929,C-N,ALFABET
1113434,C=CCNC(=O)C1CSc2ccccc21,3,C=CC[NH],O=[C]C1CSc2ccccc21,103.25355,C-N,NEW
203510,Cc1cc(N)c(O)cc1N,3,Cc1c[c]c(O)cc1N,[NH2],106.1313,C-N,ALFABET
1091651,COCCN(C)C=O,5,C[N]CCOC,[CH]=O,96.19595,C-N,NEW
268206,NCC1(C(N)=O)CC1,3,NCC1([C]=O)CC1,[NH2],103.31692,C-N,ALFABET
201547,CC/C(N)=C/C(=O)OC,2,CC/[C]=C/C(=O)OC,[NH2],111.90063,C-N,ALFABET
1094266,CCC1CN(N(C)C)C1,5,CCC1CN([N]C)C1,[CH3],62.3964,C-N,NEW
275831,CN(C)C1CCN(N)CC1,2,C[N]C,NN1CC[CH]CC1,76.49905,C-N,ALFABET
269659,C=C(CC(=O)NC)C(=O)O,4,C=C(C[C]=O)C(=O)O,C[NH],101.23108,C-N,ALFABET
1103914,NC(=O)CSc1cccc(F)c1N,11,[NH2],NC(=O)CSc1[c]c(F)ccc1,113.64699,C-N,NEW
14105,C/N=C/c1ccccc1,0,[N]=Cc1ccccc1,[CH3],76.36602,C-N,ALFABET
1102973,CC(CCS)CCN1CCCC1=O,6,O=C1CCC[N]1,[CH2]CC(C)CCS,97.54133,C-N,NEW
1114959,O=C(O)c1ccc(C(F)(F)F)cc1NCl,12,O=C(O)c1[c]cc(C(F)(F)F)cc1,[NH]Cl,95.14173,C-N,NEW
1097350,CNC(=O)O/N=C1/CSCS1,1,O=[C]O/N=C1/CSCS1,C[NH],100.04572,C-N,NEW
157785,COC1=NC=CN(C)[C@@H]1N,6,COC1=NC=C[N][C@@H]1N,[CH3],66.21856,C-N,ALFABET
1098800,CCCNC(C)(C)C(C)(C)N,9,CCCNC(C)(C)[C](C)C,[NH2],83.76749,C-N,NEW
1093077,C=CN=C(CC)NC=C,1,C=CNC(=[N])CC,[CH]=C,94.18854,C-N,NEW
1104489,CCN1CCC(CC2(O)CCC2)C1,1,OC1(CC2CC[N]C2)CCC1,[CH2]C,77.80678,C-N,NEW
1089222,O=C(S)NCO,2,O=[C]S,[NH]CO,94.71565,C-N,NEW
1099718,CCCCC(C=O)CCCNC,10,[CH3],CCCCC(C=O)CCC[NH],81.9427,C-N,NEW
1114298,CCN1C[C@H](NC(=O)[C@H](C)N)C2(CC2)C1,9,C[CH]C(=O)N[C@H]1CN(CC)CC12CC2,[NH2],83.25858,C-N,NEW
1116697,Nc1cccc(F)c1N1C(=O)CNC1=O,0,[NH2],O=C1CNC(=O)N1c1[c]cccc1F,109.74262,C-N,NEW
1113013,Nc1ccc(N)c(CCn2cccn2)c1,0,[NH2],Nc1cc[c]cc1CCn1cccn1,104.11951,C-N,NEW
1099454,CN1CCC(CCN=C=O)CC1,0,O=C=NCCC1CC[N]CC1,[CH3],80.76172,C-N,NEW
238919,CNCC(=O)NCC(N)=O,4,CNC[C]=O,[NH]CC(N)=O,100.6111,C-N,ALFABET
235119,CCNc1ccncc1N,1,[CH2]C,[NH]c1ccncc1N,70.86966,C-N,ALFABET
1102909,O=C(C1CC2CC2C1)N1CCCC1,7,O=[C]C1CC2CC2C1,C1CC[N]C1,94.23561,C-N,NEW
139261,CCc1cc(N)ccn1,4,[NH2],CCc1c[c]ccn1,106.76823,C-N,ALFABET
1117411,CNCCN(C)c1cc2ccccc2o1,0,[CH3],CN(CC[NH])c1cc2ccccc2o1,83.2178,C-N,NEW
1113724,O=C(N[C@@H](CS)C(=O)O)OCC(Cl)(Cl)Cl,1,O=[C]OCC(Cl)(Cl)Cl,[NH][C@@H](CS)C(=O)O,103.98648,C-N,NEW
1096606,CCOC1CN(C(C)C)C1,5,CCOC1C[N]C1,C[CH]C,82.48424,C-N,NEW
1101733,O=C(O)CNCC(O)C(O)CO,3,[CH2]C(=O)O,[NH]CC(O)C(O)CO,78.81331,C-N,NEW
144491,O=Cc1cccc(N=O)c1,6,O=Cc1c[c]ccc1,[N]=O,55.22334,C-N,ALFABET
